"","host_species","preds"
"752","Scotorepens_balstoni",NA
"753","Scotorepens_orion",NA
"754","Scotorepens_greyii",NA
"755","Scotorepens_sanborni",NA
"756","Hypsugo_cadornae",NA
"757","Hypsugo_macrotis",NA
"758","Hypsugo_vordermanni",NA
"759","Hypsugo_ariel",NA
"760","Hypsugo_bodenheimeri",NA
"761","Hypsugo_alaschanicus",NA
"762","Hypsugo_savii",NA
"763","Vespadelus_baverstocki",NA
"764","Vespadelus_douglasorum",NA
"765","Vespadelus_caurinus",NA
"766","Vespadelus_finlaysoni",NA
"767","Vespadelus_pumilus",NA
"768","Vespadelus_troughtoni",NA
"769","Vespadelus_darlingtoni",NA
"770","Vespadelus_regulus",NA
"771","Vespadelus_vulturnus",NA
"772","Nyctalus_azoreum",NA
"773","Nyctalus_aviator",NA
"774","Nyctalus_lasiopterus",NA
"775","Nyctalus_leisleri",NA
"776","Nyctalus_montanus",NA
"777","Nyctalus_noctula",NA
"778","Nyctalus_plancyi",NA
"779","Nyctalus_furvus",NA
